Region,Year,Land_Cover_Type,Area_sq_km,NDVI,Population_Density,Temperature_Anomaly
Arctic,2002,Barren Land,6150.599731608901,0.40036077057861863,11.972026168038893,1.9577645558599677
North America,2020,Barren Land,2916.8134096293056,0.8457914210809105,217.4568155766421,0.6900683837835269
South America,2011,Wetlands,4451.016889913839,0.41999670531427824,299.0998937660126,-0.6682619190670835
Asia,2000,Urban,3030.282382180281,0.1378394425115759,390.909838694727,-0.8009548054766267
South America,2002,Agriculture,1768.5044947716226,0.32345287634339903,515.778940333392,0.5995931989011895
Africa,2002,Forest,887.2576448994216,0.9453382521511049,743.4582263344598,-0.8480446947110984
Africa,2004,Agriculture,7088.578059170837,0.6459535397013162,8.976312135087262,0.15116375337116272
Africa,2018,Barren Land,5205.5944141754735,0.8044744437230674,572.4379478124122,0.09821188269098896
Australia,2024,Agriculture,7330.317232028678,0.19401346358702645,283.12709212953735,0.00041076337592419425
Arctic,2000,Wetlands,2210.6897651657787,0.240411171145628,22.784044565486777,1.3573419075426645
Australia,2003,Barren Land,7338.313148372925,0.6409432755720766,297.0347414460205,1.733905949596211
North America,2003,Barren Land,7907.2001102187505,0.817672608602236,640.96423514175,0.3983309883529638
Africa,2016,Water,9997.361825745407,0.4056153711303909,283.7150613493445,-0.5144073453514562
Asia,2013,Water,5926.329312435746,0.35047205816822236,53.0884663155595,0.330936915139814
South America,2017,Wetlands,3220.3551914921813,0.8303725673486766,172.22397107255574,1.8322250864519685
Arctic,2000,Wetlands,7250.797285748167,0.069013307932065,77.49260360893777,2.0895127577650117
Europe,2021,Agriculture,6472.012758590896,0.4836763918844641,505.38385107775287,1.5333518852479915
Asia,2015,Forest,3745.71820907286,0.5602814981823198,68.0873454476219,-1.1477539358938729
Arctic,2002,Agriculture,830.4693535982644,0.10842256555632486,37.56798658802756,1.1488508323397173
Australia,2022,Wetlands,2808.3092636866677,0.4159600889451025,88.80570713222639,-2.140400558169015
Australia,2020,Forest,6728.563974074215,0.813695750384144,128.56040142853226,1.975763657226813
Asia,2008,Agriculture,4283.122879875065,0.3934947556434032,189.85129393515936,-1.7018564637134546
Australia,2022,Urban,2397.1177917469995,0.13909135347512944,174.4117827470069,0.17420347551279847
Africa,2003,Urban,5347.106839960657,0.2902065593300308,10.698133046555496,1.737638298245112
North America,2020,Forest,3737.731808416891,1.069166794586306,446.17832971177677,0.9711631316600423
South America,2004,Water,1715.848626900197,0.7234818991442238,561.9936835879137,0.37629266465656896
North America,2010,Forest,2335.7150887203516,0.9324895566327186,227.10944811623912,1.2831236236556793
Arctic,2020,Agriculture,13226.050763013245,0.4258002999250052,5.69674306827362,1.3316122310953569
South America,2008,Barren Land,195.9878823162223,0.7414179728608252,85.48096365288893,0.5176860125043471
South America,2002,Urban,3533.9568887994396,0.3537133727413466,40.517210589021026,-0.11264796961916296
North America,2005,Barren Land,6728.289565701055,0.6978274038056493,55.72046422846297,-0.13324592127528986
Asia,2023,Urban,3489.745383334405,0.25168721637351743,627.2050944765587,0.19058838762622118
South America,2010,Agriculture,2139.9972994467826,0.6546788393996998,196.27187275869017,1.1753204865314082
North America,2008,Urban,2646.5088972655353,0.3280261845679949,35.30195790641521,1.5665397158975822
South America,2014,Forest,11089.754999490451,0.7756878248273265,88.20875664925924,-0.26701487016988673
Europe,2022,Barren Land,5464.876259919643,0.7089641367581391,895.7429961763166,-1.0886923481372648
Asia,2002,Wetlands,5234.794403891431,0.2728079469576482,213.55572542781272,-0.8195799335745708
Africa,2000,Barren Land,4810.709598517319,0.830119690347848,260.96942572655837,1.947794859997333
South America,2019,Agriculture,4116.879594447145,0.4577705937433686,223.73970160063863,1.4807764473607516
Europe,2021,Wetlands,1483.0622002213954,0.22885386473024383,35.50563411440972,-1.091280994158005
Africa,2018,Barren Land,17279.2255201457,0.739829753141969,1266.1445615465188,1.6610091258336477
Africa,2013,Agriculture,8577.258360795533,0.38511441410637937,31.776964857838145,-0.7116591925821982
Arctic,2016,Water,3513.146457963696,0.1236476571846485,36.12302648456542,2.664605260857608
South America,2021,Forest,3906.2990108771,0.36600111280377123,17.85011224861665,-0.7124078000789874
North America,2013,Urban,4924.457588309563,0.051183673724950474,175.8759084832621,2.1628700027563794
South America,2016,Urban,1471.0398090713684,0.0689993545258832,689.8118962184984,-0.5701409220684917
Europe,2024,Urban,2759.3907257651767,0.2296399153235601,438.8807629239299,-1.0498099576549422
Africa,2013,Water,2271.4262872183367,0.7929742624755646,146.69322172150888,-0.4565244685844638
South America,2011,Forest,5693.172238541559,0.5505891968628731,240.45216772458832,2.626877290594414
North America,2015,Barren Land,1094.307362148119,0.6008465138397782,54.19576113731022,0.2605543996522378
Arctic,2000,Barren Land,1604.433366494109,0.3738932404917137,93.7890629981998,0.9717851596111022
South America,2012,Forest,6199.270818557,0.4624981540397466,369.99715250675297,-0.788380667286805
Asia,2005,Wetlands,4128.782093495395,0.6234512562810675,140.6622854274061,-1.7476794680289056
Arctic,2016,Forest,10285.914240709959,0.22820756437965795,11.478891726108492,2.5401323582297275
North America,2011,Urban,2734.970618022724,0.24566891352706213,81.79419865091985,-1.2505428812518085
Europe,2022,Barren Land,3104.0447654935383,0.2740861761113984,463.2630048289485,1.1056586981252625
Africa,2018,Forest,13305.314138112044,1.0587260680996031,205.28893373894942,0.7900855646183761
South America,2005,Barren Land,7391.947123058393,0.1609422148452347,120.24054890363487,-0.10001901016469628
North America,2006,Forest,6288.9918856032755,0.6050235355416554,706.8645885586756,1.2361211972804325
Arctic,2000,Agriculture,1897.8167220298446,0.1645185652208308,4.883261138512796,2.92558939702368
Asia,2000,Urban,2032.646205257382,0.23226810714114712,91.89050151858314,0.1569105230599615
North America,2004,Forest,3303.0411345591297,0.5311747007144746,126.82872492976684,-0.7681491642921802
Australia,2005,Water,3239.821716297699,0.34533247008794166,90.27132531470274,0.413534003163406
Asia,2015,Forest,1927.4701748510759,0.36003613275161805,264.134524296351,0.4076981816545535
Arctic,2024,Agriculture,2641.672137033648,0.12299944567904593,27.56615516471806,2.491454929960899
Europe,2015,Water,3373.221914512905,0.72630345295101,16.891424754100626,0.07903241115826644
Africa,2013,Water,10681.742933685826,0.27775994967491685,56.1971373904446,0.32715418494883575
Arctic,2000,Forest,8457.535057921088,0.4312925742604394,6.639185573361565,2.30214981540359
Europe,2012,Agriculture,5555.255232990049,0.48803088732347577,21.8770550742117,1.3620911644077955
South America,2019,Water,937.4956875115031,0.15778241708495858,39.97782521513554,-1.2741003033781069
North America,2009,Urban,7757.103313455913,0.09294165684919549,82.19347565061675,-1.0015884702399978
Australia,2023,Wetlands,5573.9271339448,0.8143237152977589,127.22039540892544,0.07513000025036294
Asia,2009,Urban,6451.488446340215,0.23290106304164154,470.07019431945713,-0.7599883568973158
Asia,2008,Barren Land,2026.225996528427,0.24746654297734755,73.73374899258461,0.2108726639775009
North America,2012,Barren Land,9092.128213942078,0.6630119321606409,332.62227140594365,-1.1131548525778134
Australia,2002,Agriculture,3020.0020327375064,0.758609395542792,17.887111862519518,-0.9553802365426406
North America,2017,Water,1906.2856178195384,0.36452251804677993,322.0947759139604,2.0604959916431262
South America,2019,Urban,5908.970621164811,0.21811046809942805,475.0129525664745,-0.22933261793195178
Europe,2001,Urban,3336.331886839971,0.13390399049060386,278.5150280351871,-1.1712416639921541
Arctic,2016,Wetlands,5457.268018768268,0.08202468708823449,6.7465629142154775,1.885177277219928
Asia,2018,Agriculture,2628.7101864228216,0.4196072621895487,120.32601840369313,1.0364209640593551
South America,2022,Water,1378.8302329250644,0.701145615291909,490.70584418747353,1.2055305020585148
Europe,2012,Agriculture,2576.2246850424917,0.46694422311062156,169.6753129304175,-1.4610716087776288
South America,2012,Forest,1118.6701774901912,0.509058247699351,88.40582216288831,-0.767043293021414
Australia,2000,Urban,5586.624364979725,0.15712230042861478,809.5407880679082,0.22270683445238185
Asia,2001,Agriculture,265.81917215974937,0.4671334581356398,304.29914678019804,-0.03397418888780877
Arctic,2000,Agriculture,7433.988494263761,0.17729158085306618,49.152829078649766,0.39999376225242966
North America,2023,Wetlands,1205.2095983694073,0.5897473559294998,7.442115350153315,-1.4379900029479193
North America,2004,Forest,6816.859397039261,0.1810233403437072,124.35323153646108,-1.0676032204087704
Europe,2023,Barren Land,5120.578713059215,0.7459105387578514,184.24363490502225,-1.7708877462340609
Arctic,2002,Urban,473.3792726585671,0.047706711544534014,26.559867584870233,1.5415288856190417
Africa,2006,Wetlands,6019.308252781939,0.6067557826309956,75.84707658830287,1.194496702448913
Australia,2023,Agriculture,1054.879347174241,0.4599060184417926,206.71879173202638,-0.6658432344543863
Europe,2021,Urban,4028.215291507695,0.2875179350012182,347.15097231548435,1.0822556104197771
Africa,2012,Barren Land,3089.924923021642,0.7609119894568454,152.80503469896624,0.029696584074713858
South America,2022,Agriculture,484.6091235020687,0.2633602977485337,352.7538314541836,-0.183382106844894
Australia,2017,Forest,4938.620004311418,0.7700919815402455,148.1188006951228,-1.665739537365632
South America,2023,Urban,3243.877585751203,0.10077040216560201,190.15990087829647,1.1698170175670375
Arctic,2020,Wetlands,3494.0016005314833,0.09959930433395386,4.32625949998832,2.116427360824493
Asia,2006,Forest,590.0025753008786,1.013084257412401,316.04111659445505,-1.5998926656749861
Australia,2000,Barren Land,522.2841237259605,0.23151125635307432,76.18742699787782,0.3818546308281153
Africa,2004,Barren Land,4167.177522223737,0.2825055460661867,635.4776404822258,-0.5878353887851654
Asia,2016,Urban,6685.643164524916,0.08170368249215007,241.8567174436197,0.06132153306545479
North America,2007,Barren Land,5656.8440997816715,0.47623351149716464,246.4692732713108,0.24013415366969665
Africa,2014,Water,7244.233018276674,0.8356858580195123,876.905354281238,1.2157356840420463
Europe,2019,Wetlands,8138.882636731468,0.3112445909697955,54.961560199083685,-1.1272786647516897
North America,2003,Urban,2153.425615721548,0.21339268183977272,226.65660708312834,0.5718821500549203
North America,2001,Water,5037.76116368165,0.42916698967421196,144.47958260184063,1.3282974411150843
Europe,2004,Barren Land,768.3674462605754,0.36880752867238165,1017.2916274723345,2.5204867714676946
Australia,2000,Urban,13760.735711608624,0.22308886120434393,472.0968068403928,1.049559952072263
North America,2024,Water,1846.9467283963504,0.5471143209350487,425.02714022747716,0.3614064611719362
Arctic,2004,Barren Land,4765.201471199548,0.19374664035360029,6.849256866486406,2.275021818797201
Africa,2005,Agriculture,15226.971610030792,0.7804506372528334,97.53155591061379,1.552101669509789
Asia,2001,Agriculture,2558.85556159839,0.14253768619962015,8.884516811202955,-0.2864369924253293
North America,2000,Forest,4683.752935905686,0.2018288593606156,305.2773186607396,0.7959025461513024
Africa,2003,Agriculture,5935.815284410325,0.8926250079733904,166.8104432762803,2.194102660639664
South America,2006,Water,2457.552731388457,0.6981463296409433,112.20767747941653,-0.10937447365729866
Africa,2021,Wetlands,3070.54241896112,0.7431431227440788,364.83784887905153,-2.013952216973439
Asia,2000,Agriculture,1177.193990906074,0.5821608601110378,529.2799733114213,-0.8608133858049897
Africa,2000,Urban,4561.271349901036,0.17435533632846717,51.390137234087646,0.29344540924312584
Europe,2007,Urban,1890.3182104513448,0.24135260119433843,752.7405759272228,-0.8369504380168767
Asia,2019,Urban,1783.9299177263965,0.06962710579478817,10.461677896934576,-0.34721397677970867
Australia,2015,Agriculture,5281.953486208423,0.7062153346417304,29.98135356254381,-0.2950458453904712
South America,2020,Agriculture,3759.2529489791964,0.5325944377150796,546.2850716927006,0.5609493032534699
Europe,2012,Forest,6993.695040424338,1.0384626149165685,203.59808338138595,-0.9459658505158027
Australia,2022,Wetlands,2435.684470910497,0.6099802061661198,840.3204316942677,-0.5837646953531667
Africa,2023,Wetlands,1906.5593748833826,0.2213540297427609,222.9306980352815,1.407047189700894
Asia,2022,Barren Land,5341.046139977918,0.48204009198243736,781.6060622284537,-0.48196209120740796
South America,2017,Forest,5536.663592343632,0.17550935925054828,82.18488891428787,0.7257855293143489
Europe,2019,Water,4253.883122579627,0.6963436474334971,287.48529151537406,0.013938100545515602
Australia,2009,Urban,1742.4169544933363,0.20058608690186164,1559.1619193020197,-0.02311774904846404
Australia,2011,Agriculture,3533.715268910243,0.39572269583389563,141.51167088515848,0.7381415664370123
South America,2000,Barren Land,1217.3312952942151,0.8748395053376313,0.4367230768799608,-1.8624622649584208
Arctic,2009,Barren Land,1866.5401404161212,0.42623940758695195,1.9858673744304445,2.4433444078844855
Africa,2008,Agriculture,11456.113471794431,0.8622655974608957,705.3905513393205,0.5527623360908271
South America,2002,Forest,2263.779230418306,0.33213143252823374,203.11461872784855,0.8484436035509693
Australia,2018,Barren Land,6447.461492870473,0.6828556765751937,230.82593017580064,-0.37547073910902684
North America,2008,Wetlands,4438.319600253325,0.856305709761965,481.9717634705592,0.0005256308357240357
Europe,2009,Forest,10003.784219546245,0.6680354464383683,500.7229513447726,-2.452530608723595
South America,2018,Agriculture,4315.897533191796,0.27132827514653696,194.69390992704794,-0.6698412969634687
Arctic,2015,Forest,4119.691480974027,0.4525499826634859,58.57068955237426,2.175585300479033
Australia,2023,Wetlands,776.3537858852876,0.8039345978613694,189.57327081536647,1.4706614734541448
Africa,2017,Urban,2870.2167675515884,0.2650353236436845,404.6385118031368,1.8457789132615745
Australia,2013,Agriculture,2770.5062390904836,0.334842302028477,10.179309755620105,-0.3424478988994969
Africa,2002,Wetlands,18963.361502454743,0.2525551189235622,53.459746927692464,0.8740315928632763
South America,2001,Agriculture,2037.248993725315,0.599415840957374,571.9895987968599,-0.1472066981368178
Africa,2000,Wetlands,1943.755044937454,0.4862404198419584,135.2136159385115,-1.615958608866614
Asia,2017,Wetlands,933.2846687203017,0.6350261795306177,122.2749782106692,0.6050552797729224
Asia,2023,Barren Land,750.4759861073172,0.18935973236989279,326.2938683164552,1.8312852463674472
Asia,2008,Barren Land,12935.810078044848,0.20873084083845106,269.34239163214704,-0.38143702020707737
Arctic,2012,Barren Land,3891.1209722294725,0.19515582239074863,2.5729020114249845,1.092743096458321
Arctic,2001,Urban,1455.854771396217,0.06140164602062002,43.54291620877467,2.067368851617863
North America,2006,Urban,8293.992799847752,0.23818836194965468,288.0903643216702,-0.12279156331093977
Arctic,2015,Wetlands,10888.439300197524,0.1970162117448752,57.99938399677674,4.610041869978511
South America,2020,Water,1517.7495948565333,0.6471766289183071,230.0361205624376,1.0058621207158713
Australia,2018,Agriculture,2361.756377808876,0.7150387216845518,160.49699121553235,0.1293900976842219
Australia,2024,Barren Land,7428.61717296064,0.2497340561753454,139.2496311182174,-2.8953297337688544
North America,2014,Agriculture,5589.349475694303,0.8358590683320488,1.328615567670909,-0.14329849050932103
Arctic,2021,Wetlands,2979.6070717745124,0.3648639361146281,1.217917550951002,3.852226629713971
Africa,2010,Forest,11350.512084488582,0.7217095700681043,50.635972992334835,0.0800475104117618
North America,2000,Wetlands,745.3782785263764,0.82714308379851,795.80190555632,0.8218494602328846
Africa,2020,Urban,1863.1950974596139,0.1250779998781439,765.2517791589886,0.39195932995931826
Africa,2006,Water,2731.6399732297755,0.43737056157761445,247.51999903643468,-0.48666205924389605
Europe,2019,Forest,1635.8169772525823,0.20235550118457757,59.60714147256462,1.6913157238906154
Australia,2007,Agriculture,335.59671117115494,0.46494545692568623,47.386347751069955,0.18890591957264719
Asia,2009,Urban,2484.159338379769,0.20204823347127068,88.76693658084717,-0.7068702784506735
Arctic,2004,Barren Land,5043.969673331948,0.2964267694640247,71.81563696283915,2.021525044289525
Africa,2008,Forest,9217.81267148505,0.18147764456099266,265.33163449448375,1.4275466659917706
Europe,2024,Urban,5813.2106685507415,0.050389126154784775,488.95624115886756,-1.4794516235841793
Australia,2024,Agriculture,7093.984939525958,0.43591213222487757,212.02438867615584,0.27026625664848614
Asia,2000,Wetlands,4636.782202550643,0.2513066498207402,282.05772273763495,0.07363476165278673
Africa,2001,Agriculture,3216.5362115939006,0.7070306737219703,339.0738084131145,-1.54010872317444
Africa,2018,Forest,846.6615680845556,0.761986832769821,11.462151716538177,0.7667677909552582
North America,2013,Forest,548.1521036411127,0.4327938954077298,176.78132957588173,0.2564517151751952
North America,2019,Wetlands,3698.9860880170113,0.1366266121306662,598.6383073958488,0.8785280433803054
Australia,2009,Forest,1538.4821192692052,0.29514587888977695,201.4736174455434,1.138078240123472
Asia,2008,Water,3558.4755013289146,0.6533434740904889,171.45701705743255,-0.05556004076264372
Africa,2009,Barren Land,1685.891312778224,0.8921319146695814,269.1718634546527,-0.5556037218256447
Australia,2005,Urban,8068.552439247558,0.14446732963186634,143.78211744519277,-1.4245294462448346
Australia,2016,Wetlands,2559.305817908608,0.7415970295723148,217.3294210907143,-0.6443384632868981
South America,2024,Agriculture,2729.345219472814,0.7936771932790058,43.62734485767377,0.010947875262480792
Arctic,2005,Agriculture,2933.0402229047263,0.06927234886339084,103.21073403542967,1.036423183818377
North America,2003,Barren Land,7458.8817117729395,0.8329772783377717,10.417790177522116,0.5834519319014164
Asia,2019,Forest,1268.1133161683276,0.5675545961951564,198.0341115914738,-0.9034258229992385
Africa,2002,Forest,4487.586718933493,1.045672518275681,84.85663712271159,-1.7628193377410541
Australia,2022,Agriculture,3476.4114370854027,0.5308446619624928,18.03833671795625,-0.5779353327061693
Africa,2018,Barren Land,2515.5778358728066,0.2881148079189183,379.6943558239239,0.18422801556809412
South America,2017,Agriculture,5133.237138212875,0.8797346459261023,1263.5587724401403,-1.2594452371042797
Asia,2023,Forest,6889.991233417745,0.35357271755132824,415.41462735050925,-0.8882621438105535
Australia,2003,Wetlands,553.9181424777208,0.805982582078003,87.9172150289916,-0.6301727673142501
Africa,2007,Urban,8282.558721085656,0.09540111830993603,244.80430258258323,-0.4988781493930993
North America,2016,Forest,434.2787717822101,0.767776869846363,15.319013923456156,0.29788221272172855
Arctic,2004,Wetlands,1680.797300603552,0.21451664355447758,22.757479620057364,2.63789888100945
South America,2012,Urban,2112.552047157021,0.3510458154084624,31.429274089835115,-0.4744310544091677
Asia,2024,Water,2165.1493690908046,0.24781810491140366,474.84995758553737,-1.0389384319634791
South America,2000,Barren Land,7721.688851423962,0.4270357384064648,17.513309093643098,0.13673571155721742
North America,2012,Wetlands,2288.659660609456,0.611821059234993,2.8215165307803516,0.5177245995477566
Asia,2003,Water,2286.2554598280844,0.8820963386203522,593.1890607281509,1.6137738879407875
South America,2021,Forest,976.634031043701,0.4117085535660868,857.0114121022591,1.1461712407458462
Europe,2023,Barren Land,4162.49571676698,0.41749684083582206,27.159313723486886,-1.2588477883501268
North America,2013,Wetlands,2812.7989389840577,0.46943358985788775,98.10016729041878,-0.1409918102613785
North America,2002,Forest,4754.5546482996415,0.362592471644329,406.0869126267654,0.4561616624655214
North America,2004,Barren Land,958.0007751075314,0.7538837603229138,232.73272102026687,-0.8501924246007927
Europe,2006,Barren Land,10156.524935156027,0.17359648460184218,894.1751553559243,-0.35070391524898453
Europe,2000,Forest,5798.114721223157,0.7965983344380505,147.88589409389397,0.6739592631722365
Africa,2022,Forest,5162.809607719079,0.6325718111592341,1.1982320428778055,0.24997140259342493
Australia,2011,Wetlands,6623.162665012747,0.29354156478856996,5.982956830054593,0.0017284228485352907
Arctic,2010,Barren Land,10333.481386050913,0.24713218941361953,24.96224160119773,1.3464507843516156
South America,2023,Wetlands,4229.007011496973,0.7639592737553641,418.4254843784968,-1.4456033226108425
Africa,2007,Barren Land,4325.261168233466,0.4563532831377012,562.8924914398198,-0.31243507447556973
South America,2024,Wetlands,2244.9077166735656,0.19751821193198174,727.4835832683968,-0.09122667560909076
Arctic,2005,Forest,2606.91899886148,0.07958494182312949,7.804907726255192,0.5315724049811574
Australia,2021,Forest,3803.962516346377,0.8666844423490145,402.2883701083563,0.04797091113855557
Europe,2001,Agriculture,2777.8876493594944,0.3643465166672325,526.5092609555763,0.3920441416270407
Australia,2018,Wetlands,5441.745980875285,0.8449957572593088,542.8707703362745,-0.6919917529509858
Europe,2019,Agriculture,8593.21109019349,0.593717744800418,159.07571664897924,0.4034448674475616
Arctic,2019,Agriculture,1152.5640259407996,0.22451355646726517,29.503621383678656,2.275705890647069
Australia,2023,Water,1146.641920598926,0.5515719361205701,240.5976636583905,-0.3045317487842753
Africa,2013,Barren Land,3467.053560353648,0.46570611593010613,327.6090857014126,-0.4159708836219764
Asia,2000,Urban,559.911807970319,0.3298595463626517,99.39876448707332,-0.332196364803408
Africa,2009,Water,14521.876393181059,0.4664174954938327,413.85361078642916,-0.8562002602160691
South America,2015,Barren Land,7114.27346142512,0.18325160687099792,371.38021450175745,0.3446430031583618
Africa,2003,Urban,4287.236494572725,0.2310681725307068,78.51305280556234,-0.8452720067461029
Arctic,2010,Agriculture,3070.3717686906994,0.2991924184601276,17.589783644682026,1.2189191458925972
North America,2015,Urban,4309.339077024873,0.2849056232937711,164.5092254759465,0.49726552754111436
South America,2019,Forest,1703.4519499569972,1.0159527758889684,414.6317217633563,-0.24207087959725954
Australia,2000,Forest,2529.4196877573113,0.5453584148385124,329.4364769485788,0.06169678799855951
South America,2015,Wetlands,1812.139899035457,0.38166128528584464,193.9912160891089,-1.7116148591433982
Asia,2018,Barren Land,3486.5095664110754,0.4926168125979994,317.12421540232424,-0.5233034891963917
Europe,2020,Water,3558.837367978308,0.8201591215290377,91.49388695084406,1.6807701311668382
Australia,2021,Agriculture,3002.9236352533226,0.8839859054692161,79.32558610261188,-1.7808082201469155
South America,2008,Barren Land,6658.177740798461,0.8769880052909936,82.29933936874377,1.749628658758184
Australia,2008,Agriculture,3035.0342966843355,0.2837564102441824,8.982444316124791,0.261213778783425
Australia,2008,Forest,3183.739548495867,0.5970195470994013,352.3982499193644,-0.5329870332563811
Australia,2016,Water,800.7890204502098,0.30757922068400917,1277.371644362702,-0.20442093689653487
Europe,2011,Water,5324.197232614262,0.3943862258936377,110.89859125266322,1.23051345127412
Arctic,2024,Forest,3749.69380007938,0.07520837065994261,79.70646957626576,-0.27749477074404405
Africa,2012,Urban,8598.95059701239,0.09139237736690671,335.8017000051023,1.4154288282374374
Australia,2007,Water,1570.1118616718475,0.4176607637496218,76.44223029329284,0.26564397980002724
North America,2015,Urban,1227.4817650382806,0.15670548231138062,3.5806751037157305,1.0122430499150696
Arctic,2017,Agriculture,2746.900502652615,0.16153302045253526,38.59145404006829,0.25167716732699263
Asia,2000,Water,456.47260446549956,0.2842476616690427,357.785488425192,-0.2274660846804011
Europe,2000,Wetlands,10047.700215648134,0.6991645715579121,78.11866089501966,-2.328351568774361
South America,2011,Forest,2674.636204475075,0.40276771181893545,121.35695566950183,1.197583230371392
Europe,2005,Urban,204.70165982942177,0.2660939620680779,684.9722397919542,-0.9827087857430098
South America,2008,Wetlands,2179.011906319248,0.3949000872653311,51.31953662386996,-0.9974042332647827
Europe,2022,Agriculture,2905.1583485492447,0.7415833912604461,541.3510619277163,-1.9344294343315707
South America,2004,Agriculture,8639.83974764543,0.2337866789882737,55.61832125359482,0.4443694460517065
Australia,2015,Water,3456.4835682954686,0.22608310429566256,197.17602312930862,0.07189042583560785
Africa,2017,Water,1302.6476419646096,0.6437378136328035,248.7887619404324,-0.7478702891568625
South America,2016,Wetlands,4351.2037445055,0.8319321934470841,191.64863838224926,0.26310323307282846
South America,2017,Barren Land,3416.037095071458,0.2143893638662971,101.87353578418087,-0.7799322532264683
North America,2000,Barren Land,2819.606351321193,0.1589636942750536,87.65354139335525,-1.7592881004273662
South America,2018,Water,2469.364871947099,0.847709765457459,396.32593434539353,-0.36379801111776416
North America,2021,Barren Land,6348.680308748162,0.19386155509265557,96.75531594829714,1.6447184116639788
Asia,2007,Forest,3338.27495285224,0.36035224297505536,282.41746994682853,0.9716663645045116
Australia,2002,Wetlands,3178.450954977604,0.8435953339360646,562.4895419548094,0.4553714484617397
North America,2024,Forest,7387.851877612059,0.8908011772418127,544.2649253675454,0.2440246896115632
Africa,2004,Barren Land,8777.958134935605,0.37420625092583515,65.84522969464966,-0.3633308908853282
Arctic,2022,Water,4363.939497085627,0.4318110878626374,31.903520873468654,2.735976718400985
Australia,2007,Forest,1853.7866413652646,0.665326572670788,276.60145679056774,0.5653237890158839
North America,2018,Agriculture,2603.8070384074504,0.1577986101021546,99.37924125735718,-0.08311358606759779
Australia,2017,Water,3093.517771091345,0.6624535018142517,149.00482273535138,0.19908044497675903
Australia,2017,Wetlands,979.9633179718437,0.5298218862586416,100.6892475564277,-1.605860436855537
Australia,2020,Urban,2212.6364226378305,0.22322817616612978,231.05069079696946,-0.4802972473021058
Asia,2000,Urban,3431.480301761804,0.3581133581841488,488.3224180723607,-1.1931065824682645
Africa,2014,Water,7573.472468135089,0.22201142663963325,755.8817346569589,-1.2121790918638295
Europe,2017,Barren Land,4899.104302293747,0.6254367202303138,384.93033835034817,0.47027344686796213
Europe,2024,Forest,636.0474575397747,0.5603914533405041,198.17516666734406,-1.264609348589266
North America,2006,Forest,2477.6922459289613,0.38101739989247585,951.7070684492131,0.7680890502701639
Australia,2015,Water,1665.2255703229644,0.6548358333303702,248.95067325575624,1.0320004488167682
North America,2015,Agriculture,505.1425335395482,0.6345702457999999,195.34066089198575,-0.06170433786624744
Asia,2014,Wetlands,2977.778107768329,0.7851960864988241,582.9986533403645,-0.6055161360685004
Asia,2005,Barren Land,2189.3189339237374,0.8030953881492032,61.23152975471425,1.0310231389791216
South America,2008,Agriculture,3344.2166747608953,0.5494555624393905,51.54923763688939,0.552369285173602
Asia,2006,Water,4932.296495105435,0.360458052854174,457.7255155313005,1.1951796319108206
South America,2013,Water,4333.3756862859,0.5236643603505161,613.3864500467236,-1.081508913195092
Africa,2010,Agriculture,16495.862058146577,0.3874041013622903,27.201164018020588,-0.2603486174144151
North America,2020,Urban,3739.8209985910667,0.12875394688947567,433.2865133402493,-0.21856488568695184
Arctic,2015,Water,8417.347413601825,0.2706301511108667,16.573486130387263,2.209424660090206
Africa,2024,Wetlands,1928.1579474403325,0.6263473393304555,437.93040792020247,0.624886769541421
Asia,2005,Barren Land,4284.852182676994,0.5724570295283153,43.49709691275102,0.13783133009179638
Africa,2021,Agriculture,2749.8720000934213,0.8635356170906556,1300.4607042947418,1.3354026841055708
Africa,2015,Urban,4072.0479207455846,0.13556355793726876,767.1563915344442,-0.374745114295249
Africa,2019,Agriculture,8925.916400288563,0.3978733480437393,187.49869631342415,-1.049010333926489
Asia,2015,Urban,2694.353573887418,0.2536457034315372,671.4856786261597,-0.6656685119500853
Arctic,2011,Urban,6739.3784451078845,0.11605738040057711,67.59263454871486,1.2099228156206934
Australia,2016,Wetlands,1882.7671378868909,0.10149070826989082,185.55277568141798,-0.4559250475750736
Africa,2004,Barren Land,1861.0347418030146,0.34982837482139295,1056.7099277218297,-0.26918928944223525
South America,2024,Water,3914.3577415136065,0.30300948197490996,1129.820503921232,-0.2267766178265428
Asia,2012,Urban,4046.199730732053,0.308772763726725,73.46829515764261,0.23192749714419483
Africa,2007,Water,3839.134025081048,0.7929989847079433,24.837438741462865,-0.4610954347446471
Arctic,2023,Barren Land,5196.5995948711625,0.16355725641246333,12.065854090248962,3.048801011907539
Australia,2004,Water,413.317561925924,0.18165692290202912,201.31900661875318,-1.9381951080485875
Asia,2011,Wetlands,1426.484997152335,0.2641615576469596,29.17683314648998,-2.2268569488815553
Europe,2008,Wetlands,4525.479305040303,0.24125471913524718,45.47703338316502,1.0013092712316265
Australia,2002,Forest,2781.7166193243675,0.34793794491368607,1069.458734794432,0.9227325764490136
South America,2002,Wetlands,1955.3857727965028,0.28771592183793226,401.0234556849596,1.239023550437549
Africa,2000,Urban,5541.5205564333855,0.19354836764831151,748.420638643024,0.6367269809196804
Arctic,2024,Barren Land,6394.587028800829,0.17785655229502584,106.37412031197621,2.002528291836206
Europe,2021,Wetlands,4300.836794116386,0.5478574006843551,142.5141906263936,-0.25842861209101653
